drug,tier,n_mutations,naive_real_frac,exper_real_frac,uncond_gen_frac,naive_potts_gen_frac,exper_potts_gen_frac,uncond_enrichment,naive_potts_enrichment,exper_potts_enrichment
Atazanavir,Major,6,0.0013556258472661546,0.023109243697478993,0.004,0.002,0.002,0.17309090909090907,0.08654545454545454,0.08654545454545454
Atazanavir,Minor,27,0.9952553095345684,0.9989495798319328,0.998,0.962,0.932,0.9990494216614091,0.9630115667718191,0.9329800210304943
Darunavir,Major,6,0.00022593764121102577,0.022058823529411766,0.004,0.002,0.0,0.18133333333333332,0.09066666666666666,0.0
Darunavir,Minor,5,0.9941256213285133,0.9821428571428571,0.994,0.986,0.988,1.0120727272727272,1.0039272727272728,1.0059636363636364
Fosamprenavir,Major,2,0.00022593764121102577,0.022058823529411766,0.004,0.002,0.0,0.18133333333333332,0.09066666666666666,0.0
Fosamprenavir,Minor,18,0.9954812471757795,0.9989495798319328,0.998,0.962,0.928,0.9990494216614091,0.9630115667718191,0.9289758149316509
Indinavir,Major,6,0.00022593764121102577,0.022058823529411766,0.004,0.004,0.002,0.18133333333333332,0.18133333333333332,0.09066666666666666
Indinavir,Minor,16,0.9957071848169905,0.9989495798319328,0.998,0.654,0.92,0.9990494216614091,0.6546876971608833,0.9209674027339643
Lopinavir,Major,13,0.0015815634884771804,0.025210084033613446,0.006,0.004,0.004,0.238,0.15866666666666668,0.15866666666666668
Lopinavir,Minor,18,0.9954812471757795,0.9989495798319328,0.998,0.96,0.926,0.9990494216614091,0.9610094637223975,0.9269737118822293
Nelfinavir,Major,2,0.0015815634884771804,0.005252100840336135,0.0,0.0,0.002,0.0,0.0,0.38079999999999997
Nelfinavir,Minor,15,0.8287392679620424,0.8235294117647058,0.914,0.87,0.826,1.1098571428571429,1.0564285714285715,1.003
Saquinavir,Major,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saquinavir,Minor,16,0.9957071848169905,0.9989495798319328,0.998,0.654,0.92,0.9990494216614091,0.6546876971608833,0.9209674027339643
Tipranavir,Major,7,0.9941256213285133,0.9842436974789915,0.992,0.988,0.99,1.007880469583778,1.0038164354322305,1.0058484525080043
Tipranavir,Minor,15,0.1728422955264347,0.19642857142857142,0.084,0.132,0.132,0.42763636363636365,0.672,0.672
